ca_id	site_id	part_id	clust_leg	clust_te
15926	5266	1	1	1
12232	5266	1	1	2
17941	1968	1	1	3
50330	271	1	1	2
3588	15565	1	1	4
6823	2737	1	1	5
9351	13970	1	1	6
16118	5265	1	1	7
112	115213	1	1	8
76720	2113	1	1	8
872	115210	1	1	8
3	1031	1	1	6
24101	2192	1	1	8
3552	11783	1	1	4
8664	12042	1	1	7
139	1005	1	1	7
844	115210	1	1	8
182	281	1	1	8
21291	318	1	1	5
381	1013	1	1	7
17960	1968	1	1	5
8584	11911	1	1	7
3556	12731	1	1	7
843	6675	1	1	7
6857	83	1	1	5
3511	11783	1	1	4
1080	1056	1	1	3
930	1056	1	1	5
927	1049	1	1	5
448	1072	1	1	6
15960	5266	1	1	9
3493	15469	1	1	7
50334	271	1	1	10
8841	13242	1	1	8
17873	5901	1	1	8
17965	1968	1	1	2
92706	11934	1	1	4
24980	14069	1	1	2
2006	115225	1	1	10
386	1013	1	1	7
5204	1132	1	1	3
1626	115113	1	1	4
400	1037	1	1	3
1841	115174	1	1	4
539	1080	1	1	5
92703	11934	1	1	4
3551	11783	1	1	4
1621	115115	1	1	7
18103	5894	1	1	6
6863	83	1	1	8
494	1067	1	1	4
12227	5266	1	1	10
17609	5303	1	1	1
1709	6674	1	1	4
92700	11934	1	1	7
3592	15565	1	1	7
6747	2262	1	1	10
109	6661	1	1	4
99	6661	1	1	5
1619	115130	1	1	4
24891	14069	1	1	8
493	1067	1	1	6
16014	5266	1	1	1
8749	15375	1	1	7
1005	1005	1	1	6
98	6661	1	1	8
12234	5266	1	1	2
24889	14069	1	1	10
12240	5266	1	1	5
21288	318	1	1	8
50285	271	1	1	10
1822	115123	1	1	10
16171	12477	1	1	6
557	6676	1	1	5
16054	5266	1	1	4
506	1040	1	1	4
8813	11786	1	1	4
15991	5266	1	1	7
17881	5901	1	1	6
50270	271	1	1	10
105	6661	1	1	4
8674	15238	1	1	4
17883	5901	1	1	4
16086	5265	1	1	1
17880	5901	1	1	8
167	312	1	1	8
452	1064	1	1	8
8573	11911	1	1	7
24261	2192	1	1	8
95	6661	1	1	5
8586	11911	1	1	8
128	1042	1	1	4
99	1042	1	1	8
888	115210	1	1	8
980151	1094	1	1	9
29940	5266	1	1	9
17733	2737	1	1	8
1436	143	6	1	6
3549	11783	1	1	4
8758	15375	1	1	7
21063	1093	1	1	1
11804	2192	1	1	5
216	290	1	1	8
16043	5266	1	1	10
996	115132	1	1	4
1798	115193	1	1	8
1652	115173	1	1	7
3580	14429	1	1	4
77777	1182	1	1	10
14071	1009	1	1	5
17610	5303	1	1	1
9399	14022	1	1	10
29909	5894	1	1	8
21292	318	1	1	5
21296	317	1	1	8
138	1204	1	1	5
918	1112	1	1	7
3581	14428	1	1	7
1840	115174	1	1	7
3794	5410	1	1	6
507	1040	1	1	5
24268	2192	1	1	3
980144	1094	1	1	8
420	1002	1	1	5
24090	5410	1	1	3
399	1037	1	1	3
17648	2737	1	1	1
1616	115223	1	1	4
15932	5266	1	1	7
3553	11783	1	1	4
6791	2737	1	1	8
24104	2192	1	1	6
8583	11911	1	1	7
980102	1094	1	1	8
15921	5266	1	1	9
6822	2737	1	1	8
92697	11934	1	1	4
8825	12378	1	1	4
328	1048	1	1	2
6848	83	1	1	3
6730	2262	1	1	6
3582	15565	1	1	8
11806	2192	1	1	7
179	281	1	1	8
50231	271	1	1	10
980088	1094	1	1	6
293	1127	1	1	7
13580	12191	1	1	4
8630	14493	1	1	7
8741	13862	1	1	10
378	1013	1	1	7
1437	143	7	1	6
24957	14069	1	1	6
18313	1034	1	1	8
17876	5901	1	1	10
2105	12581	1	1	7
24058	5410	1	1	3
17867	4248	1	1	6
17734	2737	1	1	2
2079	12581	1	1	7
17872	5901	1	1	4
11812	2192	1	1	6
387	1013	1	1	7
16119	5265	1	1	1
165	165	1	1	6
17645	2737	1	1	1
451	1064	1	1	5
16011	5266	1	1	1
24062	5410	1	1	8
6817	2737	1	1	6
6816	2737	1	1	2
24084	5410	1	1	6
12260	5266	1	1	2
6732	2262	1	1	10
125	6677	1	1	8
8767	15375	1	1	6
1599	115200	1	1	2
24986	14069	1	1	6
61123	12007	1	1	2
585	6663	1	1	5
8615	14085	1	1	4
1827	115125	1	1	4
1745	6683	1	1	8
12262	5266	1	1	7
24266	2192	1	1	3
15963	5266	1	1	9
21297	317	1	1	8
21293	318	1	1	5
41326	5257	1	1	8
104	6661	1	1	5
61116	12007	1	1	6
1808	115205	1	1	4
3557	12731	1	1	4
17737	2737	1	1	3
9390	14022	1	1	6
16007	5266	1	1	8
6854	83	1	1	8
15916	5266	1	1	1
406	1002	1	1	5
417	1002	1	1	5
9452	15291	1	1	6
6860	83	1	1	5
24252	2192	1	1	4
8843	15660	1	1	4
18102	5894	1	1	1
61132	12007	1	1	4
86	1042	1	1	8
76751	5511	1	1	2
50038	6338	1	1	2
92702	11934	1	1	7
50240	271	1	1	10
15944	5266	1	1	6
50274	271	1	1	10
1650	115115	1	1	7
3513	14791	1	1	7
6731	2262	1	1	10
3809	5410	1	1	3
24081	5410	1	1	6
896	115210	1	1	8
1891	115160	1	1	6
416	1002	1	1	10
17915	5901	1	1	1
299	1127	1	1	7
17932	1968	1	1	8
8632	14493	1	1	7
6812	2737	1	1	3
24100	2192	1	1	6
6846	83	1	1	8
403	1037	1	1	3
5345	1142	1	1	3
3591	15565	1	1	4
3507	14435	1	1	7
8761	15375	1	1	7
24091	5410	1	1	6
15985	5266	1	1	1
20649	5259	1	1	6
3539	11917	1	1	5
538	1080	1	1	9
1753	6672	1	1	7
3585	15565	1	1	7
8782	13145	1	1	4
187	187	1	1	6
1613	115222	1	1	2
50276	271	1	1	4
17955	1968	1	1	8
8831	15668	1	1	7
17886	5901	1	1	4
8624	14493	1	1	7
24264	2192	1	1	3
16181	5261	1	1	1
1695	115190	1	1	5
1328	115135	1	1	4
1620	115175	1	1	7
980149	1094	1	1	7
291	1122	1	1	2
16178	5512	1	1	5
519	1067	1	1	5
24933	14069	1	1	6
515	1067	1	1	5
1785	115219	1	1	8
545	1080	1	1	4
8663	12042	1	1	4
16094	5265	1	1	1
11783	561	1	1	5
6755	840	1	1	8
144	276	1	1	3
8740	13862	1	1	10
12221	5266	1	1	8
3525	14674	1	1	6
21295	318	1	1	3
427	1035	1	1	5
9395	14022	1	1	8
1965	115151	1	1	8
21298	317	1	1	8
980058	1094	1	1	2
1070	1031	1	1	6
3521	13216	1	1	4
980148	1094	1	1	9
8822	10622	1	1	8
61126	12007	1	1	2
1421	142	1	1	6
1623	115117	1	1	4
8575	11911	1	1	4
917	1112	1	1	7
3799	5410	1	1	6
17878	5901	1	1	4
24263	2192	1	1	3
584	6663	1	1	5
92701	11934	1	1	7
1603	115171	1	1	4
3495	12710	1	1	5
6819	2737	1	1	6
100	314	1	1	5
24970	14069	1	1	10
29614	1036	1	1	5
16044	5266	1	1	8
17906	5901	1	1	6
17962	1968	1	1	3
11786	561	1	1	8
1695	115168	1	1	5
3509	10806	1	1	7
16128	5265	1	1	8
6839	83	1	1	8
3547	11783	1	1	4
1624	115155	1	1	4
8581	11911	1	1	4
425	1035	1	1	5
92149	11934	1	1	5
1805	115128	1	1	6
21304	326	1	1	8
3517	10807	1	1	4
