ca_id	site_id	part_id	clust_leg	clust_te
15926	5266	1	1	1
12232	5266	1	1	1
17941	1968	1	1	2
50330	271	1	1	1
3588	15565	1	1	3
6823	2737	1	1	4
9351	13970	1	1	1
16118	5265	1	1	5
112	115213	1	1	4
76720	2113	1	1	1
872	115210	1	1	4
3	1031	1	1	1
24101	2192	1	1	1
3552	11783	1	1	6
8664	12042	1	1	5
139	1005	1	1	5
844	115210	1	1	4
182	281	1	1	7
21291	318	1	1	4
381	1013	1	1	8
17960	1968	1	1	4
8584	11911	1	1	5
3556	12731	1	1	5
843	6675	1	1	8
6857	83	1	1	4
3511	11783	1	1	6
1080	1056	1	1	2
930	1056	1	1	4
927	1049	1	1	4
448	1072	1	1	1
15960	5266	1	1	4
3493	15469	1	1	8
50334	271	1	1	7
8841	13242	1	1	1
17873	5901	1	1	1
17965	1968	1	1	1
92706	11934	1	1	3
24980	14069	1	1	1
2006	115225	1	1	4
386	1013	1	1	8
5204	1132	1	1	2
1626	115113	1	1	6
400	1037	1	1	5
1841	115174	1	1	3
539	1080	1	1	2
92703	11934	1	1	6
3551	11783	1	1	3
1621	115115	1	1	5
18103	5894	1	1	1
6863	83	1	1	7
494	1067	1	1	6
12227	5266	1	1	7
17609	5303	1	1	1
1709	6674	1	1	6
92700	11934	1	1	8
3592	15565	1	1	8
6747	2262	1	1	7
109	6661	1	1	6
99	6661	1	1	4
1619	115130	1	1	3
24891	14069	1	1	1
493	1067	1	1	1
16014	5266	1	1	1
8749	15375	1	1	8
1005	1005	1	1	1
98	6661	1	1	7
12234	5266	1	1	7
24889	14069	1	1	1
12240	5266	1	1	4
21288	318	1	1	7
50285	271	1	1	7
1822	115123	1	1	7
16171	12477	1	1	1
557	6676	1	1	4
16054	5266	1	1	6
506	1040	1	1	6
8813	11786	1	1	6
15991	5266	1	1	5
17881	5901	1	1	1
50270	271	1	1	7
105	6661	1	1	6
8674	15238	1	1	3
17883	5901	1	1	3
16086	5265	1	1	1
17880	5901	1	1	1
167	312	1	1	2
452	1064	1	1	1
8573	11911	1	1	8
24261	2192	1	1	1
95	6661	1	1	4
8586	11911	1	1	1
128	1042	1	1	6
99	1042	1	1	1
888	115210	1	1	4
980151	1094	1	1	4
29940	5266	1	1	4
17733	2737	1	1	1
1436	143	6	1	1
3549	11783	1	1	3
8758	15375	1	1	8
21063	1093	1	1	1
11804	2192	1	1	4
216	290	1	1	2
16043	5266	1	1	7
996	115132	1	1	6
1798	115193	1	1	7
1652	115173	1	1	8
3580	14429	1	1	6
77777	1182	1	1	4
14071	1009	1	1	4
17610	5303	1	1	1
9399	14022	1	1	1
29909	5894	1	1	1
21292	318	1	1	2
21296	317	1	1	2
138	1204	1	1	2
918	1112	1	1	8
3581	14428	1	1	5
1840	115174	1	1	5
3794	5410	1	1	1
507	1040	1	1	4
24268	2192	1	1	2
980144	1094	1	1	1
420	1002	1	1	4
24090	5410	1	1	2
399	1037	1	1	2
17648	2737	1	1	1
1616	115223	1	1	6
15932	5266	1	1	5
3553	11783	1	1	6
6791	2737	1	1	1
24104	2192	1	1	1
8583	11911	1	1	5
980102	1094	1	1	1
15921	5266	1	1	4
6822	2737	1	1	1
92697	11934	1	1	3
8825	12378	1	1	6
328	1048	1	1	1
6848	83	1	1	2
6730	2262	1	1	1
3582	15565	1	1	4
11806	2192	1	1	5
179	281	1	1	2
50231	271	1	1	7
980088	1094	1	1	1
293	1127	1	1	5
13580	12191	1	1	3
8630	14493	1	1	8
8741	13862	1	1	2
378	1013	1	1	8
1437	143	7	1	1
24957	14069	1	1	1
18313	1034	1	1	1
17876	5901	1	1	1
2105	12581	1	1	8
24058	5410	1	1	2
17867	4248	1	1	1
17734	2737	1	1	1
2079	12581	1	1	8
17872	5901	1	1	3
11812	2192	1	1	1
387	1013	1	1	8
16119	5265	1	1	1
165	165	1	1	1
17645	2737	1	1	1
451	1064	1	1	4
16011	5266	1	1	1
24062	5410	1	1	2
6817	2737	1	1	1
6816	2737	1	1	1
24084	5410	1	1	1
12260	5266	1	1	7
6732	2262	1	1	7
125	6677	1	1	1
8767	15375	1	1	1
1599	115200	1	1	7
24986	14069	1	1	1
61123	12007	1	1	6
585	6663	1	1	4
8615	14085	1	1	3
1827	115125	1	1	6
1745	6683	1	1	2
12262	5266	1	1	5
24266	2192	1	1	2
15963	5266	1	1	4
21297	317	1	1	1
21293	318	1	1	4
41326	5257	1	1	4
104	6661	1	1	4
61116	12007	1	1	1
1808	115205	1	1	6
3557	12731	1	1	6
17737	2737	1	1	2
9390	14022	1	1	1
16007	5266	1	1	7
6854	83	1	1	7
15916	5266	1	1	1
406	1002	1	1	4
417	1002	1	1	4
9452	15291	1	1	1
6860	83	1	1	4
24252	2192	1	1	1
8843	15660	1	1	3
18102	5894	1	1	1
61132	12007	1	1	5
86	1042	1	1	1
76751	5511	1	1	1
50038	6338	1	1	7
92702	11934	1	1	8
50240	271	1	1	7
15944	5266	1	1	7
50274	271	1	1	7
1650	115115	1	1	8
3513	14791	1	1	8
6731	2262	1	1	7
3809	5410	1	1	2
24081	5410	1	1	1
896	115210	1	1	4
1891	115160	1	1	1
416	1002	1	1	1
17915	5901	1	1	1
299	1127	1	1	8
17932	1968	1	1	1
8632	14493	1	1	8
6812	2737	1	1	2
24100	2192	1	1	1
6846	83	1	1	7
403	1037	1	1	2
5345	1142	1	1	2
3591	15565	1	1	6
3507	14435	1	1	8
8761	15375	1	1	8
24091	5410	1	1	1
15985	5266	1	1	1
20649	5259	1	1	1
3539	11917	1	1	4
538	1080	1	1	4
1753	6672	1	1	5
3585	15565	1	1	8
8782	13145	1	1	1
187	187	1	1	1
1613	115222	1	1	3
50276	271	1	1	4
17955	1968	1	1	1
8831	15668	1	1	8
17886	5901	1	1	6
8624	14493	1	1	8
24264	2192	1	1	2
16181	5261	1	1	1
1695	115190	1	1	4
1328	115135	1	1	3
1620	115175	1	1	8
980149	1094	1	1	8
291	1122	1	1	1
16178	5512	1	1	4
519	1067	1	1	2
24933	14069	1	1	1
515	1067	1	1	4
1785	115219	1	1	4
545	1080	1	1	3
8663	12042	1	1	6
16094	5265	1	1	1
11783	561	1	1	4
6755	840	1	1	7
144	276	1	1	2
8740	13862	1	1	7
12221	5266	1	1	1
3525	14674	1	1	1
21295	318	1	1	2
427	1035	1	1	4
9395	14022	1	1	1
1965	115151	1	1	7
21298	317	1	1	1
980058	1094	1	1	1
1070	1031	1	1	1
3521	13216	1	1	6
980148	1094	1	1	4
8822	10622	1	1	7
61126	12007	1	1	6
1421	142	1	1	1
1623	115117	1	1	3
8575	11911	1	1	3
917	1112	1	1	8
3799	5410	1	1	1
17878	5901	1	1	3
24263	2192	1	1	2
584	6663	1	1	4
92701	11934	1	1	8
1603	115171	1	1	6
3495	12710	1	1	2
6819	2737	1	1	1
100	314	1	1	4
24970	14069	1	1	1
29614	1036	1	1	4
16044	5266	1	1	1
17906	5901	1	1	1
17962	1968	1	1	2
11786	561	1	1	1
1695	115168	1	1	4
3509	10806	1	1	8
16128	5265	1	1	7
6839	83	1	1	7
3547	11783	1	1	3
1624	115155	1	1	3
8581	11911	1	1	6
425	1035	1	1	2
92149	11934	1	1	4
1805	115128	1	1	1
21304	326	1	1	2
3517	10807	1	1	3
6872	83	1	1	7
3800	5410	1	1	2
17730	2737	1	1	1
8631	13994	1	1	6
9352	13970	1	1	1
3802	5410	1	1	7
550	1080	1	1	5
50329	271	1	1	7
429	1035	1	1	2
21299	317	1	1	1
18223	1015	1	1	7
1011	1093	1	1	1
1425	142	5	1	1
63256	2356	1	1	1
9160	14377	1	1	8
24085	5410	1	1	1
9371	14210	1	1	8
757	6662	1	1	4
76756	5511	1	1	1
1969	115167	1	1	1
398	1037	1	1	2
1968	115172	1	1	1
50295	271	1	1	7
24851	15292	1	1	1
492	1067	1	1	6
196	291	1	1	4
6729	2262	1	1	1
12242	5266	1	1	7
29963	15375	1	1	4
18031	2748	1	1	1
326	1011	1	1	2
8577	11911	1	1	1
463	1072	1	1	3
63239	2356	1	1	4
8578	11911	1	1	3
557	1079	1	1	4
15925	5266	1	1	7
402	1037	1	1	2
92696	11934	1	1	3
428	1035	1	1	2
322	1001	1	1	1
6840	83	1	1	7
1662	115196	1	1	7
24991	15292	1	1	1
1821	115141	1	1	4
15923	5266	1	1	1
20153	12007	1	1	2
980157	1095	1	1	1
16117	5265	1	1	1
3514	14791	1	1	8
24927	14069	1	1	2
103	6661	1	1	2
16163	12480	1	1	1
6856	83	1	1	1
8753	15375	1	1	6
15920	5266	1	1	5
1659	115102	1	1	5
1977	115214	1	1	3
17985	1968	1	1	2
1333	115144	1	1	1
8847	15425	1	1	1
3542	12455	1	1	3
8760	15375	1	1	8
8634	14493	1	1	8
1969	12581	1	1	2
11748	561	1	1	1
24265	2192	1	1	2
6743	2262	1	1	7
61133	12007	1	1	6
53502	1127	1	1	1
3796	5410	1	1	2
16016	5266	1	1	1
3558	12731	1	1	3
8546	11148	1	1	3
1627	115189	1	1	3
1975	115202	1	1	1
1666	115191	1	1	6
50292	271	1	1	7
3545	11783	1	1	3
324	1016	1	1	1
6815	2737	1	1	4
24907	14069	1	1	1
8576	11911	1	1	5
15961	5266	1	1	4
17655	2737	1	1	1
12261	5266	1	1	7
17959	1968	1	1	1
8823	12378	1	1	3
845	115210	1	1	4
1838	115221	1	1	3
16120	5265	1	1	1
15937	5266	1	1	7
24870	15292	1	1	1
18034	2748	1	1	1
8750	15375	1	1	8
323	1017	1	1	1
3512	11783	1	1	8
1611	115148	1	1	5
8553	11895	1	1	1
775	6666	1	1	4
8571	11911	1	1	1
3559	12731	1	1	3
16018	5266	1	1	7
1632	115184	1	1	8
1705	115187	1	1	7
16046	5266	1	1	6
240	312	1	1	4
3519	11949	1	1	8
1825	115215	1	1	1
18276	1029	1	1	2
24086	5410	1	1	1
3801	5410	1	1	1
6737	2262	1	1	7
1709	115136	1	1	6
8580	11911	1	1	6
1654	115175	1	1	3
3524	12621	1	1	3
551	6684	1	1	4
17938	1968	1	1	2
8713	14062	1	1	8
18039	2748	1	1	1
6728	2262	1	1	7
1839	115174	1	1	6
8756	15375	1	1	8
3560	13906	1	1	8
11776	561	1	1	1
6875	83	1	1	7
12243	5266	1	1	7
17647	2737	1	1	4
209	209	1	1	1
6853	83	1	1	4
32	901	1	1	6
6751	2262	1	1	2
30146	303481	1	1	1
980142	1094	1	1	1
16093	5265	1	1	2
24982	14069	1	1	1
20156	12007	1	1	2
12230	5266	1	1	1
16121	115154	1	1	8
16056	5266	1	1	1
6735	2262	1	1	7
385	1013	1	1	5
17620	2486	1	1	7
50342	6405	1	1	7
45960	12007	1	1	4
24860	15292	1	1	1
61127	12007	1	1	6
1601	115129	1	1	2
8762	15375	1	1	5
3596	15565	1	1	8
8797	10634	1	1	8
8633	15621	1	1	8
17656	2737	1	1	1
3573	10574	1	1	8
106	313	1	1	4
8572	11911	1	1	6
16031	5266	1	1	1
1979	115152	1	1	1
1809	251391	1	1	7
1648	115211	1	1	8
6752	2262	1	1	2
9895	2192	1	1	2
16022	5266	1	1	1
1701	6665	1	1	4
17949	1968	1	1	1
3503	14016	1	1	8
8798	14222	1	1	4
12251	5266	1	1	6
3491	14272	1	1	8
24977	14069	1	1	1
1984	115117	1	1	4
3501	15302	1	1	8
24956	14069	1	1	2
3515	14791	1	1	8
1842	115110	1	1	4
1645	115113	1	1	7
24916	14069	1	1	1
379	1013	1	1	5
30161	303481	1	1	2
12252	5266	1	1	4
8720	15660	1	1	6
3497	13698	1	1	8
20650	5258	1	1	1
1598	115128	1	1	7
25002	15292	1	1	1
16141	5265	1	1	1
934	115121	1	1	4
3793	5410	1	1	1
20645	4248	1	1	2
18220	1015	1	1	2
21321	1015	1	1	2
50282	271	1	1	4
595	251151	1	1	6
6825	2737	1	1	7
6821	2737	1	1	4
1650	115207	1	1	8
3504	14016	1	1	8
17979	1968	1	1	1
383	1013	1	1	5
24928	14069	1	1	1
92705	11934	1	1	7
6741	2262	1	1	7
24855	15292	1	1	1
1963	115176	1	1	6
3555	12731	1	1	6
17986	1968	1	1	1
1059	1031	1	1	4
3550	11783	1	1	6
24071	5410	1	1	2
92699	11934	1	1	8
3808	5410	1	1	2
3544	11783	1	1	3
2089	13838	1	1	3
8842	15660	1	1	8
6864	83	1	1	2
8788	12062	1	1	6
16039	5266	1	1	1
581	6686	1	1	6
17875	5901	1	1	7
50290	271	1	1	7
16019	5266	1	1	1
1634	115112	1	1	4
431	1035	1	1	2
549	1080	1	1	5
92148	11934	1	1	6
6740	2262	1	1	7
8754	15375	1	1	3
1826	115140	1	1	7
423	1002	1	1	2
980091	1094	1	1	1
1894	115166	1	1	4
20149	12007	1	1	2
8790	12062	1	1	6
17971	1968	1	1	1
17890	5901	1	1	1
6756	840	1	1	7
16138	5265	1	1	1
1698	115162	1	1	7
409	1002	1	1	4
17741	120	1	1	1
15977	5266	1	1	4
61117	12007	1	1	1
8547	11148	1	1	3
61131	12007	1	1	3
6849	83	1	1	2
90	306	1	1	3
1754	6673	1	1	6
24833	15292	1	1	6
3502	12940	1	1	8
16012	5266	1	1	1
92695	11934	1	1	8
17894	5901	1	1	1
