ca_id	part_id	site_id	mclust	clust_hard	clust_col
3588	1	15565	1	1	1
6823	1	2737	1	1	1
16118	1	5265	1	1	1
3552	1	11783	1	1	1
8664	1	12042	1	1	1
139	1	1005	1	1	1
381	1	1013	1	1	1
17960	1	1968	1	1	1
8584	1	11911	1	1	1
3556	1	12731	1	1	1
843	1	6675	1	1	1
3511	1	11783	1	1	1
1080	1	1056	1	1	1
448	1	1072	1	1	1
15960	1	5266	1	1	1
3493	1	15469	1	1	1
92706	1	11934	1	1	1
386	1	1013	1	1	1
1626	1	115113	1	1	1
400	1	1037	1	1	1
1841	1	115174	1	1	1
539	1	1080	1	1	1
92703	1	11934	1	1	1
3551	1	11783	1	1	1
1621	1	115115	1	1	1
494	1	1067	1	1	1
1709	1	6674	1	1	1
92700	1	11934	1	1	1
3592	1	15565	1	1	1
6747	1	2262	1	1	1
109	1	6661	1	1	1
99	1	6661	1	1	1
1619	1	115130	1	1	1
8749	1	15375	1	1	1
12240	1	5266	1	1	1
1954	1	1038	1	1	1
16054	1	5266	1	1	1
506	1	1040	1	1	1
8813	1	11786	1	1	1
15991	1	5266	1	1	1
105	1	6661	1	1	1
8674	1	15238	1	1	1
17883	1	5901	1	1	1
8573	1	11911	1	1	1
128	1	1042	1	1	1
29940	1	5266	1	1	1
3549	1	11783	1	1	1
8758	1	15375	1	1	1
11804	1	2192	1	1	1
996	1	115132	1	1	1
1652	1	115173	1	1	1
3580	1	14429	1	1	1
77777	1	1182	1	1	1
21292	1	318	1	1	1
918	1	1112	1	1	1
3581	1	14428	1	1	1
1840	1	115174	1	1	1
420	1	1002	1	1	1
399	1	1037	1	1	1
1616	1	115223	1	1	1
15932	1	5266	1	1	1
3553	1	11783	1	1	1
8583	1	11911	1	1	1
15921	1	5266	1	1	1
92697	1	11934	1	1	1
8825	1	12378	1	1	1
6848	1	83	1	1	1
11806	1	2192	1	1	1
293	1	1127	1	1	1
13580	1	12191	1	1	1
8630	1	14493	1	1	1
378	1	1013	1	1	1
2105	1	12581	1	1	1
2079	1	12581	1	1	1
17872	1	5901	1	1	1
387	1	1013	1	1	1
6732	1	2262	1	1	1
61123	1	12007	1	1	1
8615	1	14085	1	1	1
1827	1	115125	1	1	1
12262	1	5266	1	1	1
15963	1	5266	1	1	1
21293	1	318	1	1	1
104	1	6661	1	1	1
1808	1	115205	1	1	1
3557	1	12731	1	1	1
8843	1	15660	1	1	1
61132	1	12007	1	1	1
92702	1	11934	1	1	1
15914	1	5266	1	1	1
1650	1	115115	1	1	1
3513	1	14791	1	1	1
299	1	1127	1	1	1
8632	1	14493	1	1	1
6846	1	83	1	1	1
3591	1	15565	1	1	1
3507	1	14435	1	1	1
8761	1	15375	1	1	1
538	1	1080	1	1	1
1753	1	6672	1	1	1
3585	1	15565	1	1	1
8782	1	13145	1	1	1
1613	1	115222	1	1	1
50276	1	271	1	1	1
8831	1	15668	1	1	1
17886	1	5901	1	1	1
8624	1	14493	1	1	1
1695	1	115190	1	1	1
1328	1	115135	1	1	1
1620	1	115175	1	1	1
980149	1	1094	1	1	1
519	1	1067	1	1	1
1046	1	115161	1	1	1
515	1	1067	1	1	1
545	1	1080	1	1	1
8663	1	12042	1	1	1
1800	1	115122	1	1	1
3521	1	13216	1	1	1
980148	1	1094	1	1	1
61126	1	12007	1	1	1
1623	1	115117	1	1	1
8575	1	11911	1	1	1
917	1	1112	1	1	1
17878	1	5901	1	1	1
92701	1	11934	1	1	1
1603	1	115171	1	1	1
3495	1	12710	1	1	1
24970	1	14069	1	1	1
1695	1	115168	1	1	1
3509	1	10806	1	1	1
3547	1	11783	1	1	1
1624	1	115155	1	1	1
8581	1	11911	1	1	1
425	1	1035	1	1	1
3517	1	10807	1	1	1
8631	1	13994	1	1	1
3802	1	5410	1	1	1
550	1	1080	1	1	1
9160	1	14377	1	1	1
9371	1	14210	1	1	1
757	1	6662	1	1	1
492	1	1067	1	1	1
12242	1	5266	1	1	1
463	1	1072	1	1	1
8578	1	11911	1	1	1
92696	1	11934	1	1	1
6840	1	83	1	1	1
1821	1	115141	1	1	1
3514	1	14791	1	1	1
8753	1	15375	1	1	1
15920	1	5266	1	1	1
1659	1	115102	1	1	1
1977	1	115214	1	1	1
3542	1	12455	1	1	1
8760	1	15375	1	1	1
8634	1	14493	1	1	1
1969	1	12581	1	1	1
61133	1	12007	1	1	1
3558	1	12731	1	1	1
8546	1	11148	1	1	1
1627	1	115189	1	1	1
1666	1	115191	1	1	1
3545	1	11783	1	1	1
8576	1	11911	1	1	1
15961	1	5266	1	1	1
8823	1	12378	1	1	1
1838	1	115221	1	1	1
8750	1	15375	1	1	1
3512	1	11783	1	1	1
1611	1	115148	1	1	1
3559	1	12731	1	1	1
1632	1	115184	1	1	1
16046	1	5266	1	1	1
3519	1	11949	1	1	1
18276	1	1029	1	1	1
1709	1	115136	1	1	1
8580	1	11911	1	1	1
1654	1	115175	1	1	1
3524	1	12621	1	1	1
8713	1	14062	1	1	1
1839	1	115174	1	1	1
8756	1	15375	1	1	1
3560	1	13906	1	1	1
17647	1	2737	1	1	1
32	1	901	1	1	1
6751	1	2262	1	1	1
16121	1	115154	1	1	1
385	1	1013	1	1	1
17620	1	2486	1	1	1
61127	1	12007	1	1	1
1601	1	115129	1	1	1
8762	1	15375	1	1	1
3596	1	15565	1	1	1
8797	1	10634	1	1	1
8633	1	15621	1	1	1
3573	1	10574	1	1	1
8572	1	11911	1	1	1
1648	1	115211	1	1	1
6752	1	2262	1	1	1
3503	1	14016	1	1	1
8798	1	14222	1	1	1
12251	1	5266	1	1	1
3491	1	14272	1	1	1
3501	1	15302	1	1	1
3515	1	14791	1	1	1
1842	1	115110	1	1	1
379	1	1013	1	1	1
8720	1	15660	1	1	1
3497	1	13698	1	1	1
50282	1	271	1	1	1
595	1	251151	1	1	1
6821	1	2737	1	1	1
1650	1	115207	1	1	1
3504	1	14016	1	1	1
383	1	1013	1	1	1
92705	1	11934	1	1	1
24855	1	15292	1	1	1
1963	1	115176	1	1	1
3555	1	12731	1	1	1
3550	1	11783	1	1	1
92699	1	11934	1	1	1
3544	1	11783	1	1	1
1047	1	115169	1	1	1
2089	1	13838	1	1	1
8842	1	15660	1	1	1
6864	1	83	1	1	1
8788	1	12062	1	1	1
581	1	6686	1	1	1
1634	1	115112	1	1	1
549	1	1080	1	1	1
92148	1	11934	1	1	1
8754	1	15375	1	1	1
8790	1	12062	1	1	1
15977	1	5266	1	1	1
8547	1	11148	1	1	1
61131	1	12007	1	1	1
90	1	306	1	1	1
1754	1	6673	1	1	1
24833	1	15292	1	1	1
3502	1	12940	1	1	1
92695	1	11934	1	1	1
17769	1	120	1	1	1
8548	1	11148	1	1	1
100	1	6661	1	1	1
8626	1	14493	1	1	1
3587	1	15565	1	1	1
1804	1	115146	1	1	1
8844	1	15425	1	1	1
12241	1	5266	1	1	1
432	1	1035	1	1	1
12071	1	11146	1	1	1
3510	1	14229	1	1	1
560	1	1079	1	1	1
1710	1	115182	1	1	1
6800	1	2737	1	1	1
6851	1	83	1	1	1
1952	1	1038	1	1	1
66900	1	15561	1	1	1
154	1	1172	1	1	1
8792	1	12062	1	1	1
15990	1	5266	1	1	1
182	1	1027	1	1	1
8665	1	15621	1	1	1
50252	1	271	1	1	1
1614	1	115119	1	1	1
980110	1	1094	1	1	1
109	1	115156	1	1	1
8544	1	11148	1	1	1
8830	1	11395	1	1	1
96	1	6661	1	1	1
3598	1	15565	1	1	1
3572	1	10574	1	1	1
6501	1	14234	1	1	1
92698	1	11934	1	1	1
15929	1	5266	1	1	1
16027	1	5266	1	1	1
76754	1	5511	1	1	1
92146	1	11934	1	1	1
106	1	115156	1	1	1
15950	1	5266	1	1	1
384	1	1013	1	1	1
3500	1	10537	1	1	1
465	1	1072	1	1	1
12253	1	5266	1	1	1
12066	1	11146	1	1	1
382	1	1013	1	1	1
8582	1	11911	1	1	1
92704	1	11934	1	1	1
31	1	901	1	1	1
3494	1	14016	1	1	1
1633	1	115170	1	1	1
321	1	1020	1	1	1
30	1	901	1	1	1
933	1	115126	1	1	1
295	1	1112	1	1	1
92694	1	11934	1	1	1
1787	1	115216	1	1	1
3600	1	15565	1	1	1
8545	1	11148	1	1	1
1664	1	115101	1	1	1
8757	1	15375	1	1	1
1953	1	1038	1	1	1
1617	1	115194	1	1	1
3564	1	15945	1	1	1
9871	1	2192	1	1	1
1801	1	115122	1	1	1
3601	1	15565	1	1	1
8570	1	11911	1	1	1
94	1	6661	1	1	1
375	1	1013	1	1	1
8712	1	10958	1	1	1
3499	1	11955	1	1	1
3520	1	11956	1	1	1
3506	1	10225	1	1	1
3522	1	14481	1	1	1
8789	1	12062	1	1	1
415	1	1002	1	1	1
8587	1	11911	1	1	1
8662	1	15621	1	1	1
1602	1	115127	1	1	1
1303	3	130	1	1	1
8625	1	14493	1	1	1
3505	1	14016	1	1	1
373	1	1013	1	1	1
1636	1	115208	1	1	1
3546	1	14434	1	1	1
1653	1	115218	1	1	1
8671	1	11911	1	1	1
8824	1	12378	1	1	1
61134	1	10187	1	1	1
842	1	6675	1	1	1
1625	1	115107	1	1	1
61130	1	12007	1	1	1
18047	1	2748	1	1	1
88	1	6661	1	1	1
3589	1	15565	1	1	1
422	1	1002	1	1	1
376	1	1013	1	1	1
8724	1	15660	1	1	1
8787	1	12062	1	1	1
8752	1	15375	1	1	1
8765	1	15375	1	1	1
8549	1	13099	1	1	1
1621	1	115207	1	1	1
6745	1	2262	1	1	1
15928	1	5266	1	1	1
8561	1	11911	1	1	1
3571	1	10574	1	1	1
1708	1	6674	1	1	1
9999465	1	6667	1	1	1
92083	1	11934	1	1	1
15946	1	5266	1	1	1
1612	1	115154	1	1	1
374	1	1013	1	1	1
3543	1	11783	1	1	1
16041	1	5266	1	1	1
61136	1	10187	1	1	1
3496	1	15302	1	1	1
8791	1	12062	1	1	1
8550	1	13099	1	1	1
1663	1	115203	1	1	1
3590	1	15565	1	1	1
3570	1	10574	1	1	1
50338	1	6434	1	1	1
380	1	1013	1	1	1
1643	1	115212	1	1	1
24879	1	14069	1	1	1
1755	1	6673	1	1	1
229	1	292	1	2	2
8796	1	11691	1	1	1
91	1	306	1	1	1
516	1	1067	1	1	1
21294	1	318	1	1	1
3492	1	14016	1	1	1
3554	1	11783	1	1	1
421	1	1002	1	1	1
17879	1	5901	1	1	1
297	1	1112	1	1	1
3584	1	15565	1	1	1
377	1	1013	1	1	1
21320	1	1015	1	1	1
8832	1	10875	1	1	1
8585	1	11911	1	1	1
92147	1	11934	1	1	1
3498	1	14016	1	1	1
803	1	115118	1	1	1
8763	1	15375	1	1	1
1756	1	6673	1	1	1
3548	1	11783	1	1	1
3574	1	10574	1	1	1
65	1	6687	1	1	1
284	1	1112	1	1	1
8579	1	11911	1	1	1
8764	1	15375	1	1	1
108	1	6661	1	1	1
532	1	1067	1	1	1
3583	1	15565	1	1	1
3586	1	15565	1	1	1
17618	1	2486	1	1	1
1604	1	115106	1	1	1
3561	1	14050	1	1	1
8574	1	11911	1	1	1
181	1	1027	1	1	1
1644	1	115158	1	1	1
24968	1	14069	1	1	1
6814	1	2737	2	1	3
76726	1	5511	2	1	3
435	1	1035	2	3	3
18187	1	1015	2	2	2
980077	1	1094	2	4	4
9412	1	12072	2	3	3
18365	1	1014	2	4	4
9405	1	12074	2	1	3
17652	1	2737	2	3	3
18350	1	1014	2	4	2
9414	1	12072	2	3	3
381	1	1166	2	3	4
17896	1	5901	2	3	3
17905	1	5901	2	1	3
18160	1	1029	2	4	4
9415	1	12072	2	4	4
5	2	901	2	4	4
144	1	1005	2	1	3
980044	1	1094	2	4	4
9432	1	13201	2	4	4
76760	1	5511	2	3	3
980119	1	1094	2	4	4
999992	1	1036	2	4	4
9434	1	13201	2	3	3
1101	1	1031	2	4	4
96	1	1042	2	3	3
1075	1	1031	2	3	3
980163	1	1096	2	3	3
151	1	1005	2	3	3
17603	1	5303	2	3	3
18368	1	1014	2	4	4
980056	1	1094	2	3	3
980065	1	1094	2	2	2
980139	1	1094	2	3	3
16084	1	5265	2	1	3
980095	1	1094	2	4	4
980115	1	1094	2	4	2
17712	1	4205	2	1	3
980049	1	1094	2	3	3
980146	1	1094	2	1	3
980060	1	1094	2	3	3
5344	1	1134	2	1	3
619	1	1093	2	1	3
18405	1	1014	2	4	4
313	1	1007	2	3	3
152	1	1005	2	3	3
1079	1	1056	2	3	3
63238	1	3115	2	3	3
980087	1	1094	2	4	4
18187	1	1014	2	2	2
1072	1	1031	2	4	4
76755	1	5511	2	1	3
6336	1	1009	2	4	4
7374	1	1041	2	4	3
155	1	1005	2	3	4
980071	1	1094	2	4	2
124	1	1029	2	4	4
980168	1	1096	2	4	3
145	1	1005	2	1	3
18391	1	1014	2	4	4
980134	1	1094	2	4	4
76728	1	5511	2	1	3
16	1	1081	2	3	3
980042	1	1094	2	4	4
18352	1	1015	2	4	4
154	1	1005	2	3	3
6733	1	2262	2	4	4
150	1	1005	2	1	3
9406	1	12072	2	4	4
108	1	1042	2	4	4
18366	1	1015	2	4	4
24102	1	2192	2	3	3
441	1	1055	2	3	3
148	1	1005	2	3	3
17900	1	5901	2	4	4
121	1	1042	2	3	3
980162	1	1096	2	3	3
9337	1	13970	2	4	4
63247	1	2356	2	1	1
980043	1	1094	2	4	4
17944	1	1968	2	3	3
177	1	1005	2	4	4
24087	1	5410	2	1	1
980054	1	1094	2	4	2
9407	1	12072	2	4	4
16096	1	5265	2	3	3
18357	1	1015	2	4	4
76722	1	5511	2	1	3
17758	1	120	2	3	3
17891	1	5901	2	3	3
11808	1	2192	2	3	3
81	1	1029	2	4	4
980164	1	1096	2	4	4
143	1	1005	2	1	1
1071	1	1031	2	3	3
61124	1	12007	2	4	3
17946	1	1968	2	3	3
21329	1	1029	2	3	3
6337	1	1009	2	4	4
17627	1	2459	2	3	3
17980	1	1968	2	1	3
16126	1	5265	2	1	3
1102	1	1031	2	3	3
980076	1	1094	2	4	4
161	1	1005	2	3	4
18351	1	1014	2	4	4
12239	1	5266	2	4	4
17909	1	5901	2	1	3
17602	1	5303	2	3	3
980059	1	1094	2	3	4
106	1	1042	2	4	2
542	1	1080	2	4	3
119	1	1042	2	2	2
17981	1	1968	2	3	3
999991	1	1036	2	1	1
18191	1	1014	2	4	4
980068	1	1094	2	4	2
12229	1	5266	2	3	3
18268	1	1029	2	3	3
980167	1	1096	2	3	3
480	1	1076	2	4	4
1082	1	1031	2	3	4
980125	1	1094	2	4	4
16098	1	5265	2	1	3
376	1	1029	2	4	4
76730	1	5511	2	3	3
1074	1	1031	2	3	3
980069	1	1094	2	4	4
146	1	1005	2	1	3
3803	1	5410	2	1	1
17920	1	5901	2	3	3
93	1	1042	2	4	2
16134	1	5265	2	3	3
980160	1	1096	2	4	4
165	1	1005	2	3	3
21064	1	1093	2	4	4
169	1	1005	2	3	3
15933	1	5266	2	4	4
980133	1	1094	2	2	2
1083	1	1031	2	1	3
123	1	1042	2	4	4
980147	1	1094	2	1	3
980052	1	1094	2	4	4
18267	1	1029	2	4	4
9893	1	2192	2	1	3
9397	1	14022	2	3	3
24882	1	14069	2	3	3
11739	1	561	2	3	3
101	1	1093	2	4	4
980127	1	1094	2	4	2
145	1	1029	2	3	3
88	1	1042	2	3	4
980124	1	1094	2	1	3
1076	1	1031	2	3	3
999993	1	1036	2	4	4
149	1	1005	2	1	3
45246	1	12007	2	4	3
980145	1	1094	2	3	3
319	1	1015	2	4	4
6338	1	1009	2	4	4
17961	1	1968	2	1	1
6335	1	1009	2	4	4
333	1	1014	2	3	3
140	1	1005	2	1	1
980153	1	1094	2	4	4
980051	1	1094	2	3	3
980074	1	1094	2	4	4
1073	1	1031	2	3	3
11750	1	561	2	1	3
980170	1	1097	2	3	3
7381	1	1041	2	1	3
76731	1	5511	2	3	3
7373	1	1041	2	4	4
156	1	1005	2	3	3
771	1	1004	2	4	4
172	1	1029	2	4	4
142	1	1005	2	1	3
444	1	1051	2	3	3
308	1	1060	2	4	4
18373	1	1015	2	4	4
18355	1	1014	2	4	4
980061	1	1094	2	4	4
6339	1	1009	2	4	4
980046	1	1094	3	3	4
980070	1	1094	3	4	2
980041	1	1094	3	3	4
162	1	1005	3	3	4
166	1	1029	3	4	2
98	1	1042	3	4	2
980045	1	1094	3	4	2
7	1	1056	3	4	4
980062	1	1094	3	3	4
2208	1	1032	3	3	4
1405	1	1009	3	3	4
17919	1	5901	3	1	3
64	1	1029	3	4	4
980169	1	1097	3	4	2
980093	1	1094	3	4	4
999994	1	1036	3	2	2
158	1	1005	3	3	4
1404	1	1009	3	4	2
980047	1	1094	3	4	2
999997	1	1030	3	4	4
332	1	1015	3	4	4
